protein1 protein2 experimental database textmining combined_score
1028307.EAE_00020 1028307.EAE_10955 0 415 231 530
1028307.EAE_00020 1028307.EAE_00025 0 415 231 530
1028307.EAE_00025 1028307.EAE_02910 210 0 0 210
1028307.EAE_00025 1028307.EAE_08055 210 0 0 210
1028307.EAE_00025 1028307.EAE_10960 0 415 231 530
1028307.EAE_00025 1028307.EAE_08305 0 0 216 216
1028307.EAE_00025 1028307.EAE_22915 259 0 0 258
1028307.EAE_00025 1028307.EAE_10950 0 0 199 199
1028307.EAE_00025 1028307.EAE_00020 0 415 231 530
1028307.EAE_00040 1028307.EAE_08130 103 432 0 468
1028307.EAE_00040 1028307.EAE_18185 161 0 0 161
1028307.EAE_00040 1028307.EAE_00465 164 0 0 163
1028307.EAE_00040 1028307.EAE_20315 167 0 0 167
1028307.EAE_00040 1028307.EAE_02935 210 0 0 210
1028307.EAE_00040 1028307.EAE_07985 210 0 0 210
1028307.EAE_00040 1028307.EAE_02975 164 0 0 163
1028307.EAE_00040 1028307.EAE_01950 222 0 0 222
1028307.EAE_00040 1028307.EAE_20245 167 0 0 167
1028307.EAE_00040 1028307.EAE_16565 161 0 0 161
1028307.EAE_00040 1028307.EAE_16895 255 0 0 254
1028307.EAE_00040 1028307.EAE_23380 173 0 0 173
1028307.EAE_00050 1028307.EAE_18230 116 0 185 248
1028307.EAE_00050 1028307.EAE_20890 175 0 92 218
1028307.EAE_00050 1028307.EAE_00055 112 0 102 168
1028307.EAE_00050 1028307.EAE_11050 112 0 102 168
1028307.EAE_00050 1028307.EAE_10910 112 0 102 168
1028307.EAE_00050 1028307.EAE_04480 0 0 270 270
1028307.EAE_00050 1028307.EAE_08230 175 0 92 218
1028307.EAE_00050 1028307.EAE_24215 0 0 182 181
1028307.EAE_00050 1028307.EAE_07340 175 0 92 218
1028307.EAE_00050 1028307.EAE_00845 175 0 92 218
1028307.EAE_00050 1028307.EAE_16555 0 0 151 150
1028307.EAE_00055 1028307.EAE_00050 112 0 102 168
1028307.EAE_00055 1028307.EAE_11055 112 0 102 168
1028307.EAE_00055 1028307.EAE_18235 112 0 102 168
1028307.EAE_00055 1028307.EAE_10915 112 0 102 168
1028307.EAE_00075 1028307.EAE_12220 126 0 217 286
1028307.EAE_00075 1028307.EAE_00085 126 0 217 286
1028307.EAE_00075 1028307.EAE_12210 0 0 165 165
1028307.EAE_00075 1028307.EAE_00095 0 0 165 165
1028307.EAE_00085 1028307.EAE_00075 126 0 217 286
1028307.EAE_00085 1028307.EAE_00090 126 0 147 222
1028307.EAE_00085 1028307.EAE_12215 126 0 147 222
1028307.EAE_00085 1028307.EAE_12230 126 0 217 286
1028307.EAE_00090 1028307.EAE_00085 126 0 147 222
1028307.EAE_00090 1028307.EAE_12220 126 0 147 222
1028307.EAE_00090 1028307.EAE_00095 0 0 151 150
1028307.EAE_00090 1028307.EAE_12210 0 0 151 150
1028307.EAE_00095 1028307.EAE_00075 0 0 165 165
1028307.EAE_00095 1028307.EAE_00090 0 0 151 150
1028307.EAE_00095 1028307.EAE_12230 0 0 165 165
1028307.EAE_00095 1028307.EAE_12215 0 0 151 150
1028307.EAE_00225 1028307.EAE_23440 164 0 127 238
1028307.EAE_00225 1028307.EAE_04315 164 0 144 253
