protein1 protein2 experimental database textmining combined_score
565664.EFXG_00001 565664.EFXG_01421 303 0 76 328
565664.EFXG_00001 565664.EFXG_02639 762 572 264 918
565664.EFXG_00001 565664.EFXG_00481 0 419 107 458
565664.EFXG_00001 565664.EFXG_01835 179 0 0 179
565664.EFXG_00001 565664.EFXG_00578 0 0 151 150
565664.EFXG_00001 565664.EFXG_00961 0 439 93 469
565664.EFXG_00001 565664.EFXG_01823 159 0 72 186
565664.EFXG_00001 565664.EFXG_00324 161 0 102 214
565664.EFXG_00001 565664.EFXG_00839 157 0 0 156
565664.EFXG_00001 565664.EFXG_00354 383 0 151 453
565664.EFXG_00001 565664.EFXG_01045 161 0 102 214
565664.EFXG_00001 565664.EFXG_01349 193 0 0 193
565664.EFXG_00001 565664.EFXG_01278 383 0 102 422
565664.EFXG_00001 565664.EFXG_01777 164 0 110 224
565664.EFXG_00001 565664.EFXG_00768 161 0 0 161
565664.EFXG_00001 565664.EFXG_01656 162 0 135 244
565664.EFXG_00001 565664.EFXG_00908 164 0 110 224
565664.EFXG_00001 565664.EFXG_00344 159 0 72 186
565664.EFXG_00001 565664.EFXG_01658 0 419 107 458
565664.EFXG_00001 565664.EFXG_01858 151 0 0 150
565664.EFXG_00001 565664.EFXG_01031 159 0 72 186
565664.EFXG_00001 565664.EFXG_00023 157 0 0 156
565664.EFXG_00001 565664.EFXG_02456 303 0 86 335
565664.EFXG_00001 565664.EFXG_01356 0 0 182 181
565664.EFXG_00001 565664.EFXG_01489 159 0 72 186
565664.EFXG_00001 565664.EFXG_02219 383 0 153 455
565664.EFXG_00001 565664.EFXG_00421 159 0 72 186
565664.EFXG_00001 565664.EFXG_01690 202 0 0 202
565664.EFXG_00001 565664.EFXG_00159 157 0 0 156
565664.EFXG_00001 565664.EFXG_02056 303 0 95 342
565664.EFXG_00001 565664.EFXG_02626 159 0 72 186
565664.EFXG_00001 565664.EFXG_00458 202 0 136 281
565664.EFXG_00001 565664.EFXG_01485 303 0 86 335
565664.EFXG_00001 565664.EFXG_02648 162 0 0 161
565664.EFXG_00001 565664.EFXG_02127 151 0 0 150
