protein1 protein2 experimental database textmining combined_score
573.JG24_00015 573.JG24_30140 147 0 52 156
573.JG24_00015 573.JG24_00650 195 0 0 195
573.JG24_00025 573.JG24_00350 800 0 0 800
573.JG24_00025 573.JG24_01690 800 0 0 800
573.JG24_00025 573.JG24_29920 138 0 90 182
573.JG24_00035 573.JG24_29800 158 0 0 157
573.JG24_00035 573.JG24_13855 195 0 0 195
573.JG24_00035 573.JG24_18110 105 215 0 267
573.JG24_00035 573.JG24_27970 195 0 0 195
573.JG24_00035 573.JG24_10400 105 103 0 162
573.JG24_00035 573.JG24_03540 195 0 0 195
573.JG24_00035 573.JG24_10405 105 103 0 162
573.JG24_00035 573.JG24_19775 158 0 0 157
573.JG24_00035 573.JG24_14485 195 0 0 195
573.JG24_00035 573.JG24_01680 800 0 0 800
573.JG24_00035 573.JG24_14080 247 0 0 246
573.JG24_00035 573.JG24_22415 158 0 0 157
573.JG24_00035 573.JG24_20275 195 0 0 195
573.JG24_00035 573.JG24_11170 247 0 0 246
573.JG24_00035 573.JG24_03285 195 0 0 195
573.JG24_00035 573.JG24_26695 105 215 0 267
573.JG24_00080 573.JG24_01610 272 0 98 315
573.JG24_00080 573.JG24_13540 268 0 139 342
573.JG24_00080 573.JG24_04480 272 0 98 315
573.JG24_00085 573.JG24_20020 143 185 0 271
573.JG24_00085 573.JG24_06605 78 577 0 593
573.JG24_00085 573.JG24_23420 0 0 277 277
573.JG24_00085 573.JG24_20655 226 0 0 225
573.JG24_00085 573.JG24_25475 0 0 491 491
573.JG24_00085 573.JG24_29695 248 0 136 322
573.JG24_00085 573.JG24_26905 0 0 154 153
573.JG24_00085 573.JG24_04275 0 0 154 153
573.JG24_00085 573.JG24_19695 0 263 405 542
573.JG24_00085 573.JG24_10255 574 0 0 574
573.JG24_00085 573.JG24_25800 161 243 0 337
573.JG24_00085 573.JG24_15685 78 577 0 593
573.JG24_00085 573.JG24_07715 226 0 0 225
573.JG24_00085 573.JG24_01145 226 0 0 225
573.JG24_00085 573.JG24_16750 195 0 0 195
573.JG24_00085 573.JG24_07190 0 0 154 153
