protein1 protein2 combined_score
208964.PA0001 208964.PA0002 775
208964.PA0002 208964.PA0001 775
208964.PA0001 208964.PA0003 193
208964.PA0003 208964.PA0001 193
208964.PA0001 208964.PA0004 627
208964.PA0004 208964.PA0001 627
208964.PA0001 208964.PA0099 441
208964.PA0099 208964.PA0001 441
208964.PA0001 208964.PA0464 189
208964.PA0464 208964.PA0001 189
208964.PA0001 208964.PA0584 219
208964.PA0584 208964.PA0001 219
208964.PA0001 208964.PA0947 786
208964.PA0947 208964.PA0001 786
208964.PA0001 208964.PA1124 171
208964.PA1124 208964.PA0001 171
208964.PA0001 208964.PA1462 657
208964.PA1462 208964.PA0001 657
208964.PA0001 208964.PA1580 630
208964.PA1580 208964.PA0001 630
208964.PA0001 208964.PA1804 341
208964.PA1804 208964.PA0001 341
208964.PA0001 208964.PA1838 406
208964.PA1838 208964.PA0001 406
208964.PA0001 208964.PA1920 628
208964.PA1920 208964.PA0001 628
208964.PA0001 208964.PA2126 441
208964.PA2126 208964.PA0001 441
208964.PA0001 208964.PA2854 182
208964.PA2854 208964.PA0001 182
208964.PA0001 208964.PA2906 406
208964.PA2906 208964.PA0001 406
208964.PA0001 208964.PA3043 171
208964.PA3043 208964.PA0001 171
208964.PA0001 208964.PA3166 687
208964.PA3166 208964.PA0001 687
208964.PA0001 208964.PA3168 659
208964.PA3168 208964.PA0001 659
208964.PA0001 208964.PA3777 162
208964.PA3777 208964.PA0001 162
208964.PA0001 208964.PA4130 406
208964.PA4130 208964.PA0001 406
208964.PA0001 208964.PA4244 188
208964.PA4244 208964.PA0001 188
208964.PA0001 208964.PA4256 184
208964.PA4256 208964.PA0001 184
208964.PA0001 208964.PA4260 620
208964.PA4260 208964.PA0001 620
208964.PA0001 208964.PA4261 193
208964.PA4261 208964.PA0001 193
208964.PA0001 208964.PA4267 205
208964.PA4267 208964.PA0001 205
208964.PA0001 208964.PA4275 965
208964.PA4275 208964.PA0001 965
