protein1 protein2 experimental database textmining combined_score
1280.SAXN108_0001 1280.SAXN108_0331 182 0 122 251
1280.SAXN108_0001 1280.SAXN108_2087 72 0 151 178
1280.SAXN108_0001 1280.SAXN108_1710 187 0 402 493
1280.SAXN108_0001 1280.SAXN108_0134 218 0 0 218
1280.SAXN108_0001 1280.SAXN108_0410 0 0 399 398
1280.SAXN108_0001 1280.SAXN108_0003 384 0 402 615
1280.SAXN108_0001 1280.SAXN108_1607 0 0 199 199
1280.SAXN108_0001 1280.SAXN108_0018 182 0 405 492
1280.SAXN108_0001 1280.SAXN108_0455 187 0 162 289
1280.SAXN108_0001 1280.SAXN108_1370 0 0 167 167
1280.SAXN108_0001 1280.SAXN108_2496 180 0 225 337
1280.SAXN108_0001 1280.SAXN108_0008 0 0 222 222
1280.SAXN108_0001 1280.SAXN108_1475 86 0 402 430
1280.SAXN108_0001 1280.SAXN108_2992 0 0 402 402
1280.SAXN108_0001 1280.SAXN108_1494 168 0 0 167
1280.SAXN108_0001 1280.SAXN108_1606 0 0 208 208
1280.SAXN108_0001 1280.SAXN108_2150 0 0 495 495
1280.SAXN108_0001 1280.SAXN108_0590 0 0 302 301
1280.SAXN108_0001 1280.SAXN108_1711 0 0 555 554
1280.SAXN108_0001 1280.SAXN108_0006 0 0 248 248
1280.SAXN108_0001 1280.SAXN108_1721 0 0 192 192
1280.SAXN108_0001 1280.SAXN108_1371 0 0 167 167
1280.SAXN108_0001 1280.SAXN108_0537 178 0 0 177
1280.SAXN108_0001 1280.SAXN108_2225 182 0 122 251
1280.SAXN108_0001 1280.SAXN108_1955 182 0 122 251
1280.SAXN108_0001 1280.SAXN108_2991 0 0 288 288
1280.SAXN108_0001 1280.SAXN108_0007 0 0 222 222
1280.SAXN108_0001 1280.SAXN108_0710 170 0 0 169
1280.SAXN108_0001 1280.SAXN108_2987 0 0 154 153
1280.SAXN108_0001 1280.SAXN108_2384 177 0 0 177
1280.SAXN108_0002 1280.SAXN108_2496 180 0 225 337
1280.SAXN108_0002 1280.SAXN108_1710 187 0 402 493
1280.SAXN108_0002 1280.SAXN108_0134 218 0 0 218
1280.SAXN108_0002 1280.SAXN108_0003 384 0 402 615
1280.SAXN108_0002 1280.SAXN108_0410 0 0 399 398
1280.SAXN108_0002 1280.SAXN108_1955 182 0 122 251
1280.SAXN108_0002 1280.SAXN108_0331 182 0 122 251
1280.SAXN108_0002 1280.SAXN108_2991 0 0 288 288
1280.SAXN108_0002 1280.SAXN108_2087 72 0 151 178
1280.SAXN108_0002 1280.SAXN108_2384 177 0 0 177
1280.SAXN108_0002 1280.SAXN108_0537 178 0 0 177
1280.SAXN108_0002 1280.SAXN108_1371 0 0 167 167
1280.SAXN108_0002 1280.SAXN108_2225 182 0 122 251
1280.SAXN108_0002 1280.SAXN108_0007 0 0 222 222
1280.SAXN108_0002 1280.SAXN108_0710 170 0 0 169
1280.SAXN108_0002 1280.SAXN108_2987 0 0 154 153
1280.SAXN108_0002 1280.SAXN108_0006 0 0 248 248
1280.SAXN108_0002 1280.SAXN108_1721 0 0 192 192
1280.SAXN108_0002 1280.SAXN108_0590 0 0 224 224
1280.SAXN108_0002 1280.SAXN108_2150 0 0 495 495
1280.SAXN108_0002 1280.SAXN108_1606 0 0 208 208
1280.SAXN108_0002 1280.SAXN108_1711 0 0 401 400
